key,Sentence,checked
40,"అయితే, ముందునుంచి జగన్ మోడీతో సఖ్యతగా ఉండటం వల్ల ఏమైనా లాభిస్తుందా? లేక చంద్రబాబుకు హ్యాండిచ్చినట్లే మోడీ జగన్ కు హ్యాండిస్తాడా? అన్నది వేచి చూడాలి.
",0
41,"పైగా బీజేపీలో ఏపీకి డిపాజిట్లు రాకపోవడం మోడీ - అమిత్ షాలకు ఎంతో కొంత ఇగో దెబ్బ తీస్తుంది కదా.
",0
42,"మరి అలా అవమానించిన రాష్ట్రానికి వారు ఇస్తారా? ఇవ్వరా అన్నది అనుమానం.
",0
43,"తెలంగాణ మాత్రం అనూహ్యంగా నాలుగు సీట్లు బీజేకి ఇవ్వడంతో రెండు తెలుగు రాష్ట్రాల కోటాలో ఒకరు మంత్రి అయినా ఆశ్చర్యం లేదు.
",0
44,"అసలు తెలుగు వారి సహకారం లేకుండా మోడీ ప్రధాని కావడం తెలుగు వారి దురదృష్టం.
",0
45,"కేసీఆర్ కలలు కల్లలయ్యాయి.
",0
46,"దేశంలో ఎవరికీ మెజారిటీ రాదు, రాష్ట్రంలో నేను తప్ప ఎవరూ గెలవరు అని గొప్పలు చెప్పుకున్న సారు కారుకు తెలంగాణ ప్రజలు పంక్చర్ చేశారు.
",0
47,"ఎపుడూ రాజకీయాలేనా.
",0
48,"పాలనను పట్టించుకోవా, ఇప్పటికైనా నీ పరిధిలో నువ్వుండు అన్నట్లు గట్టి తీర్పు ఇచ్చారు.
",0
49,"ఏపీలో వైసీపీ గెలుపు చాాలామంది ఊహించారు గానీ తెలంగాణలో టీఆర్ఎస్ ఈ స్థాయి పరాజయాన్ని ఎవరూ ఇంత ఊహించలేదు.
",0
50,"మొత్తం 17 సీట్లకు గాను 8 కి మించి టీఆర్ఎస్ కు దక్కే పరిస్థితి కనిపించడం లేదు.
",0
51,"మిగతా 9 సీట్లలో ఒకటి ముస్లిం పార్టీకి, నాలుగు కాంగ్రెస్ గెలుచుకుంటున్నాయి.
",0
52,"అందరినీ ఆశ్చర్యపరుస్తూ బీజేపీ నాలుగు సీట్లలో విజయం సాధించింది.
",0
53,"దేశంలో బీజేపీ సాధించిన విజయం కంటే ఇది గొప్పది.
",0
54,"నన్ను ఎదిరించేవాడు ఎవడు, నాకు ఎదురుచెప్పేవాడు ఎవ్వడు అన్నట్లు ప్రగల్బాలు పలికే కేసీఆర్ తోక కత్తిరించిన తెలంగాణ ప్రజలు 2014 కంటే సీట్లను తగ్గించారు.
",0
55,"దీంతో సారు, కారు శోకసంద్రంలో మునిగాయి.
",0
56,"అయితే, ఏపీలో తన మిత్రుడు గెలవడం కేసీఆర్ కు కొంచెం ఊరటగా ఫీలవుతున్నాడు.
",0
57,"అయితే.
",0
58,"జగన్ బీజేపీ ఒక్కటై కేసీఆర్ వదిలేసినట్లు ఫలితాలను బట్టి అర్థమవుతోంది.
",0
59,"ఏపీ ఎన్నికల్లో వైసీపీ ప్రభంజనం సృష్టించింది.
",0
60,"‘ఫ్యాన్’ గాలి గట్టిగా వీచింది.
",0
61,"మొత్తం 150 అసెంబ్లీ స్థానాల్లో వైసీపీ ఆధిక్యం చూపుతోంది.
",0
62,"కనీసం 140 స్థానాలు గెలుచుకునే అవకాశం చాలా స్పష్టంగా కనిపిస్తోంది.
",0
63,"ఇప్పటికే మానసికంగా సిద్ధమైన వైసీపీ శ్రేణులు ఈ అధికారిక ప్రకటనతో భారీ ఎత్తున సంబరాలు చేసుకుంటున్నాయి.
",0
64,"రాష్ట్ర వ్యాప్తంగా స్వీట్లు పంచుకుంటున్నాయి.
",0
65,"డప్పు మోతల మధ్య బాణసంచా పేల్చుతూ సంబరాల్లో మునిగితేలుతున్నారు.
",0
66,"మే 30న వైసీపీ అధినేత వైఎస్ జగన్ మోహన్‌రెడ్డి ముఖ్యమంత్రిగా ప్రమాణ స్వీకారం చేస్తారని వార్తలు వస్తున్నాయి.
",0
67,"ఇటీవలే వైసీపీ కార్యాలయాన్ని జగన్ తాడేపల్లికి తరలించిన విషయం తెలిసిందే.
",0
68,"ఈ నేపథ్యంలో శ్రేణులన్నీ తాడేపల్లి వైపు తరలుతున్నాయి.
",0
69,"పార్లమెంట్ స్థానాల్లో వైసీపీ ఆధిక్యమే బాగా కనిపిస్తోంది.
",0
70,"21 స్థానాల్లో వైసీపీ ముందంజలో ఉంది.
",0
71,"టీడీపీ కేవలం 4 స్థానాలకు పరిమితం కావడం అందరినీ ఆశ్చర్యానికి గురిచేస్తోంది.
",0
72,"జనసేన ఖాతా కూడా తెరవలేదు.
",0
73,"టీడీపీ మంత్రులను జనం పూర్తిగా దూరం పెట్టారు.
",0
74,"హ్యాట్రిక్ లు కొట్టిన వారు కూడా కనిపించకుండా పోయారు.
",0
75,"గంటాతో సహా అందరూ ఊహించిన ఓటమి గంటా శ్రీనివాసరావుదే.
",0
76,"వరుసగా అన్ని ఎన్నికల్లో గెలుస్తూ వస్తున్న గంటా శ్రీనివాసరావు జగన్ స్వీప్ చేసిన సమయంలోనూ మరోసారి గెలవడం అందరినీ ఆశ్చర్యానికి గురిచేస్తోంది.
",0
77,"ఈ నేపథ్యంలో గంటా శ్రీనివాసరావు తొలిసారిగా ఓటమి అనంతరం మాట్లాడారు.
",0
78,"జగన్ గెలుపు ఎలా సాధ్యమైందో ఆయన చెప్పాడు.
",0
79,"‘‘నన్ను గెలిపించిన విశాఖ నగర ప్రజలకు కృతజ్ఞతలు.
",0
80,"తెలుగుదేశం ప్రభుత్వం ఎన్నో అభివృద్ధి కార్యక్రమాలు చేసింది.
",0
81,"అయినా ప్రజలు మార్పు కోరుకున్నారు.
",0
82,"తనకు ఒక్క ఛాన్స్ ఇవ్వాలని జగన్ ఇచ్చిన పిలుపు ప్రజలను ఎంతో ఆకట్టుకుంది.
",0
83,"ఒకసారి చూద్దాం అని జనం భావించారు.
",0
84,"అందుకే ఇంత ఘన విజయం ఆ పార్టీకి సాధ్యమైంది’’ అని గంటా వ్యాఖ్యానించారు.
",0
85,"ఈనెల 29వ తేదీన టీడీపీ శాసనసభాపక్ష సమావేశం నిర్వహించనున్నారు ఈ సందర్భంగా పార్టీ పరాజయానికి దారి తీసిన కారణాలు విశ్లేషించుకుంటామని, రాబోయే ఎన్నికల్లో ప్రజల మనసు గెలుచుకోవడానికి ప్రయత్నం చేస్తామని అన్నారు.
",0
86,"ఇదిలా ఉండగా.
",0
87,"ఈసారి గంటా శ్రీనివాసరావు భీమిలి నుంచి పోటీ చేసి ఉంటే ఓడిపోయేవారు.
",0
88,"హుదూద్ విషయంలో విశాఖ ప్రజలు చంద్రబాబును ఎప్పటికీ మరిచిపోరు.
",0
89,"అభివృద్ధి, మౌలిక సదుపాయాలు వైజాగ్ లో ఎంతో అభివృద్ధి చెందాయి.
",0
90,"ఈ నేపథ్యంలో చంద్రబాబు మీద ఉన్న కృతజ్జత వల్ల నగర ప్రజలు సైకిల్ కి ఓటు వేయడం వల్ల గంటా గెలిచిపోయారు.
",0
91,"లేకపోతే గంటా మిగతా ఎక్కడ నుంచి పోట ీచేసినా ఓడిపోయేవారు.
",0
92,"ఓడిపోయిన చంద్రబాబు కంటే.
",0
93,"లగడపాటి మీద జనాలకు ఎక్కువ జాలి కలుగుతోంది.
",0
94,"పాపం ఒకప్పుడు ఎలా ఉండేవాడు.
",0
95,"ఇపుడు ఎలా అయ్యాడు అంటూ అతని మీద ట్రోల్స్ తో పాటు సానుభూతి కూడా వ్యక్తమవుతోంది.
",0
96,"నిన్నటి నుంచి లగడపాటి ఎక్కడ అంటూ అందరూ అడుగుతున్నారు.
",0
97,"అయితే, వారందరి కోరిక మేరకు లగడపాటి కనిపించారు.
",0
98,"అయితే, పెద్ద ట్విస్ట్ ఇచ్చాడు.
",0
99,"మాజీ ఎంపీ, ఆంధ్రా ఆక్టోపస్ అని పేరు తెచ్చుకున్న లగడపాటి రాజగోపాల్ ‘తాను సర్వేలు చేయడం మానేస్తున్నట్టు’ రాత పూర్వకంగా ప్రకటన వెలువరించారు.
",0
100,"ప్రజల నాడీని పట్టడంలో విఫలమైనందుకు చింతిస్తున్నట్లు తెలిపారు.
",0
101,"పక్షపాతం లేకుండా సర్వేలు చేశానని, తన సర్వేలతో ఎవరైనా నొచ్చుకుంటే క్షమించాలని లగడపాటి కోరారు.
",0
102,"ఆయన ప్రెస్ మీట్ ఒక్కముక్కలో చెప్పాలంటే.
",0
103,"‘డిసెంబర్‌ 2018లో జరిగిన తెలంగాణ శాసనసభ ఎన్నికలు, ఏప్రిల్ 2019లో జరిగిన ఆంధ్రప్రదేవ్ పార్లమెంట్‌, అసెంబ్లీ ఎన్నికల్లో ప్రజల నాడి తెలుసుకోవడంలో విఫలమైనందుకు చింతిస్తున్నా.
",0
104,"కారణాలేమైనప్పటికీ ప్రజానాడి పసిగట్టడంలో వరసగా రెండుసార్లు విఫలమైనందుకు గాను భవిష్యత్తులో సర్వేలకు దూరంగా ఉండదలుచుకున్నా’ అని లగడపాటి వెల్లడించారు.
",0
105,"ఈ సందర్భంగా ఆయన ముఖ్యమంత్రిగా ఎన్నికయిన వైఎస్ జగన్‌కు శుభాకాంక్షలు చెబుతూ చంద్రబాబు నాయుడు నిర్మాణాత్మక ప్రతిపక్ష పాత్ర పోషించాలని ఆకాంక్షించారు.
",0
106,"ఇదీ ఆయన ప్రెస్ నోట్ :.
",0
107,"కారు సారు పదహారు నినాదం గంగపాలైంది.
",0
108,"కేంద్రంలో ఏకంగా ప్రధాని లేదా ఉప ప్రధాని పదవిపై కన్నేసిన కేసీఆర్ కలలు నెరవేరకపోగా సొంత కూతురు ఓటమి పాలు కావడంతో టీఆర్ఎస్ శ్రేణులు తీవ్ర ఆవేదనలో మునిగిపోయాయి.
",0
109,"వారు చంద్రబాబు ఓటమిని ఎంజాయి్ చేసే మూడ్లో కూడా లేకుండా పోయారు.
",0
110,"నిజామాబాద్ లో మరీ అన్యాయం బీజేపీ చేతిలో కవిత ఓడిపోయింది.
",0
111,"అరవింద్ ధర్మపురి ఆమెపై గెలిచారు.
",0
112,"ఇక్కడ ఎర్రజొన్న రైతులు 180 మంది పోటీలో ఉండటం వల్ల ఈ నియోజకవర్గం దేశ వ్యాప్తంగా వార్తల్లోకి వచ్చింది.
",0
113,"రైతుల చేసిన నిరసన వల్ల కవితపై కొంత వ్యతిరేకత కూడా ఏర్పడింది.
",0
114,"పైగా తాము సునాయాసంగా గెలుస్తామన్న ఓవర్ కాన్ఫిడెన్స్ కూడా టీఆర్ఎస్ పై బాగా దెబ్బ వేసిందంటున్నారు.
",0
115,"తనకు ఇష్టం లేని రేవంత్ గెలిచి పార్లమెంటుకు వెళితే.
",0
116,"కూతురు పార్లమెంటు ఎన్నికలో ఓడిపోవడం కేసీఆర్ జీర్ణించుకోలేని పరిస్థితి.
",0
117,"కవిత నిజామాబాద్ సిట్టింగ్ ఎంపీ.
",0
118,"టీఆర్ఎస్‌కు ప్రత్యర్థి పార్టీలైన కాంగ్రెస్, టీఆర్ఎస్‌లు ఇక్కడ బలంగా లేవు అనుకున్నారు.
",0
119,"రైతుల వల్ల వార్తలకెక్కినా గెలుపునకు ఢోకాలేదు అనుకున్నారు.
",0
120,"కానీ బీజేపీ సైలెంటుగా గెలిచేసింది.
",0
121,"మరోవైపు కాంగ్రెస్ కు కేవలం 65 వేలు రావడం చూస్తుంటే.
",0
122,"కాంగ్రెస్ నేతలు అదేపనిగా బీజేపీని గెలిపించారని ప్రచారం కూడా ఉంది.
",0
123,"ఓటమి అంటే సులువుగా ఒప్పుకోని కేసీఆర్ దీనిపై పోస్టు మార్టం మొదలుపెట్టారు.
",0
124,"ఏ అసెంబ్లీ నియోజకవర్గంలో ఎన్ని ఓట్లు వచ్చాయి.
",0
125,"ఎక్కడ తగ్గాయి అని ఆరాతీస్తున్నారు.
",0
126,"అంటే ఈ నియోజకవర్గం పరిధిలోని ఎమ్మెల్యేలలో కొందరికి మూడిందన్నమాటే.
",0
127,"తెలంగాణ ముఖ్య‌మంత్రి, టీఆర్ఎస్ పార్టీ అధినేత కేసీఆర్‌కు మ‌ళ్లీ త‌న పార్టీ ట్ర‌బుల్ షూట‌ర్ హ‌రీశ్ రావు గుర్తుకు వ‌చ్చాడు.
",0
128,"కారు సారు ప‌ద‌హారు అనే నినాదంతో తెలంగాణలో జరిగిన లోక్‌సభ ఎన్నికల‌ను ఎదుర్కున్న‌ టీఆర్ఎస్ పార్టీ కేవ‌లం 9 ఎంపీ స్థానాలను గెలుచుకుంది.
",0
129,"ఇందులో సీఎం కేసీఆర్ బిడ్డ క‌విత ఓట‌మి పాల‌య్యారు.
",0
130,"మ‌రోపు కేసీఆర్ నీడ‌లా ఉండే ఎంపీ వినోద్‌కుమార్ సైతం ప‌రాజ‌యం పాల‌య్యారు.
",0
131,"టీఆర్ఎస్‌కు కంచుకోట‌లా ఉండే రెండు నియోజ‌క‌వ‌ర్గాల్లో షాక్ త‌గిలింది.
",0
132,"ఇక గెలిచిన నియోజ‌క‌వ‌ర్గాల్లో ముఖ్యంగా చెప్పుకోవాల్సింది మెదక్ నియోజక వర్గం.
",0
133,"మెద‌క్ నియోజ‌క‌వ‌ర్గం నుంచి నుంచి పోటీ చేసిన ఎంపీ అభ్యర్థి కొత్త ప్రభాకర్ రెడ్డి అఖండ మెజారిటితో విజయం సాధించారు.
",0
134,"ఆయన విజయం వెనుక ఉన్న ఏకైక వ్యక్తి, టీఆర్ఎస్ ముఖ్య నాయకుడు హరీశ్‌ రావ్.
",0
135,"ప్రభాకర్ రెడ్డి గెలుపుని ప్రతిష్టాత్మకంగా తీసుకొని, తన బావమరిది కేటీఆర్ తో చాలెంజ్ చేసి మరీ మెదక్ ఎంపీగా ప్రభాకర్ రెడ్డిని గెలిపించాడు.
",0
136,"ఓ వైపు త‌న కూతురు, కుడి భుజం ఓట‌మి.
",0
137,"మ‌రోవైపు త‌న ఇలాకాలో భారీ మెజార్టీతో పార్టీ అభ్య‌ర్థి గెలుపు నేప‌థ్యంలో టీఆర్ఎస్ అధినేత కేసీఆర్ చూపు తిరిగి త‌న మేన‌ల్లుడిపై ప‌డింది.
",0
138,"దీంతో ఆయ‌న‌తో తాజాగా స‌మావేశం అయ్యారు.
",0
139,"భారీ మెజార్టీతో గెలుపు సాధించిన ప్రభాకర్ రెడ్డి తన విజయానందాన్ని సీఎం కేసీఆర్ తో పంచుకునేందుకు ప్రగతి భవన్ కు వచ్చారు.
",0
140,"ఆయనతో పాటు హరీశ్‌రావు కూడా ప్రగతి భవన్ కు చేరుకొని గులాబీ బాస్‌ను కలిశారు.
",0
141,"ఈ సందర్భంగా కేసీఆర్ వారికి శుభాకాంక్షలు తెలిపారు.
",0
142,"కాగా, తెలంగాణలో రెండవ సారి టీఆర్ఎస్ ప్రభుత్వం ఏర్పడ్డాక తొలిసారిగా అంటే 6 నెలల తర్వాత ప్రగతి భవన్లో హ‌రీశ్‌ అడుగుపెట్టారు.
",0
143,"కాగా ఈ మ‌ర్యాద పూర్వ‌క భేటీ అనంత‌రం హ‌రీశ్‌తో కేసీఆర్ ప్ర‌త్యేకంగా ముచ్చ‌టించినట్లు స‌మాచారం.
",0
144,"తిరిగి హ‌రీశ్‌కు గౌర‌వం క‌ట్ట‌బెట్ట‌డం వెనుక ఓట‌మి నేర్పిన పాఠ‌మ‌ని ప‌లువురు చర్చించుకుంటున్నారు.
",0
145,"తన ప్రమాణ స్వీకారానికి ఆహ్వానించడం కోసం వైకాపా అధ్యక్షుడు జగన్ ఏపీ మాజీ ముఖ్యమంత్రి, ప్రతిపక్ష పార్టీ అధినేత చంద్రబాబుకు ఫోన్ చేశారు.
",0
146,"అయితే, ఈ సందర్భంగా.
",0
147,"కార్యక్రమం వివరాలు, ఎక్కడ ఏర్పాటుచేస్తున్నారు, ఎపుడు జరుగుతోంది అంటూ జగన్ చంద్రబాబుకు వివరించారని తెలుస్తోంది.
",0
148,"మీరు తప్పకుండా నా ప్రమాణ స్వీకారానికి హాజరు కావాలి, అన్ని పార్టీల వారికి ఆహ్వానం పంపుతున్నాను మీరు కూడా హాజరయితే బాగుంటుందని జగన్ చెప్పినట్లు తెలుస్తోంది.
",0
149,"అయితే, చంద్రబాబు కార్యాలయం నుంచి దీనికి ఎలాంటి అధికార సమాచారం ఇంకా వెలువడలేదు.
",0
150,"జగన్ ప్రమాణ స్వీకారానికి వెళ్లాలా వద్దా అన్న డైలమాలో ఉన్న నేపథ్యంలో దీనిపై పార్టీ శ్రేణుల అభిప్రాయం కూడా తీసుకుని ముందుకు వెళ్లాలని చంద్రబాబు ఆలోచిస్తున్నారని తెలిసింది.
",0
151,"భవిష్యత్తులో సుపరిపాలనకు మీరు కూడా విలువైన సలహాలు ఇవ్వాలని చంద్రబాబను జగన్ కోరినట్టు వార్తలు వెలువడ్డాయి.
",0
152,"రెండ్రోజుల క్రితం ఢిల్లీలో జగన్ మాట్లాడుతూ తనకు చంద్రబాబుపై ఎలాంటి వ్యక్తిగత ద్వేషం లేదని చెప్పడం తెలిసిందే.
",0
153,"చంద్రబాబును రకరకాల ఆరోపణలతో ముప్పుతిప్పలు పెట్టి సోషల్ మీడియా మీద భారీగా ఇన్వెస్ట్ చేసి.
",0
154,"చంద్రబాబును ప్రజల్లో అబద్ధాలతో డామేజ్ చేసిన జగన్ ఈసారి భారీ మెజారిటీతో అధికారంలోకి వచ్చారు.
",0
155,"అయితే, వాస్తవానికి ఏపీ ముళ్ల కిరీటం మోయటం ఎవరికీ సులువు కాదు.
",0
156,"అనుభవం ఉన్న చంద్రబాబే తలమునకలు అయ్యారు.
",0
157,"ఈ నేపథ్యంలో ఏపీ ముఖ్యమంత్రిగా ఎన్నికయ్యారు.
",0
158,"దీంతో ఈ రాష్ట్రంలో లోటును ఎలా పూడ్చాలో తెలియక విచిత్రమైన స్టేట్ మెంట్లు ఇస్తూ తన భయాన్ని బయటకు చెప్పేస్తున్నాడు జగన్.
",0
159,"అయితే, తీవ్రమైన ఓటమితో బాధలో ఉన్న టీడీపీకి జగన్ తన తప్పులతో కొత్త ఉత్సాహాన్ని ఇచ్చారు.
",0
160,"తొలి వారంలోనే తనను అధికారంలోకి తేవడానికి కారణమైన ప్రధాన హామీలను, రాష్ట్రానికి కీలకమైన పాయింట్లను నీరుగార్చారు.
",0
161,"జగన్ తీరు గమనించిన టీడీపీ శ్రేణులు ఇక జగన్ తన పేరు పోగొట్టుకోవడానికి ఎంతో కాలం పట్టదని సంతోషపడుతున్నాయి.
",0
162,"జగన్ నీరు గార్చిన మూడు ప్రధాన హామీలు.
",0
163,"ప్రత్యేక హోదాఏపీకి ప్రత్యేక హోదా ఈ ఐదేళ్లలో అసాధ్యం అన్నట్లు మాట్లాడారు జగన్.
",0
164,"మోడీకి 250 వస్తాయనుకున్నా.
",0
165,"మన సీట్లు అవసరం కాబట్టి మెడలు వచ్చి ప్రత్యేక హోదా సాదిధ్దాం అనుకున్నాను.
",0
166,"ఇపుడు ఫుల్ మెజారిటీ ఉంది.
",0
167,"మనం రిక్వెస్ట్ చేయడం తప్ప చేసేదేమీ లేదు అంటూ జగన్ వ్యాఖ్యానించారు.
",0
168,"వచ్చే ఐదేళ్లలో 3040 సార్లు ప్రధానిని కలిసినపుడల్లా ప్రత్యేక హోదా గురించి రిక్వెస్ట్ (డిమాండ్ కూడా చేయరట) చేస్తాం అన్నారు.
",0
169,"అంటే మోడీ ఇస్తే తీసుకోవాలి.
",0
170,"లేకపోతే లేదు అని చెప్పేశాడు జగన్.
",0
171,"ఎందుకంటే మోడీకి ఫుల్ మెజారిటీ ఉందట.
",0
172,"మరి 2014లో ఫుల్ మెజారిటీ లేదా జగన్ అని ఏపీ ప్రజలు ప్రశ్నిస్తున్నారు.
",0
173,"అపుడు కూడా ఫుల్ మెజారిటీ ఉంది కాబట్టి ఏదోరకంగా ఏపీకి నిధులు వస్తే చాలన్నట్లు రకకరకాల ప్రయత్నాలు చేశారు చంద్రబాబు.
",0
174,"అపుడేమో కేబినెట్ నుంచి రాజీనామా చేస్తే చాలు ప్రత్యేక హోదా వచ్చేస్తాది అని జనాల్ని నమ్మించి పరోక్షంగా చంద్రబాబు పై ఒత్తిడి తెచ్చారు.
",0
175,"ఇపుడేమో.
",0
176,"సారీ రిక్వెస్ట్ చేద్దాం.
",0
177,"ఇస్తాడేమో అంటున్నారు.
",0
178,"మాట తప్పం మడమ తిప్పం.
",0
179,"నెం.
",0
180,"పోలవరంపోలవరం ప్రాజెక్టు వైఎస్ ఉండగానే 90 శాతం కంప్లీట్ అయ్యిందని జగన్ 2014-15 కాలంలో చెప్పేవారు.
",0
181,"ఆ తర్వాత పోలవరం చంద్రబాబు 50 శాతం కూడా పూర్తి చేయలేదన్నాడు.
",0
182,"ఇపుడు అసలు అది కేంద్రం ప్రాజెక్ట్.
",0
183,"వాళ్లకే వదిలేద్దాం.
",0
184,"అవసరమైతే రీటెండర్లు పిలుచుకుని నిర్మించమని చెబుదాం అన్నాడు.
",0
185,"ఏపీకి ముఖ్యంగా రాయలసీమకు ప్రాణంతో సమానం ఆ ప్రాజెక్టు.
",0
186,"దానికి పంగనామాలు పెట్టేసి మోడీ చేతులో పెడుతున్నాడు జగన్.
",0
187,"కేంద్ర విద్యా సంస్థలకు బిల్డింగులకు 12 వేల కోట్లు ఇవ్వమంటే 500 కోట్లు ఇచ్చి చేతులు దులుపుకున్న మోడీ.
",0
188,"పోలవరం కట్టమంటే ఎపుడు కట్టాలి.
",0
189,"చంద్రబాబు హయంలో దశలవారీగా దానిని నిర్మించి బిల్లులు డిమాండ్ చేసేవారు.
",0
190,"ఇక తప్పనిసరి పరిస్థితుల్లో కేంద్రం నిర్దేశిత సమయంలో పు బిల్లులు ఇవ్వాల్సి వచ్చేది.
",0
191,"అంటే ఇక పోలవరంపై ఆశలు వదులుకోవాల్సిందే.
",0
192,"కేసీఆర్ కోరుకునేది కూడా ఇదే.
",0
193,"మాట తప్పం.
",0
194,"మడమ తిప్పం.
",0
195,"నెం 2 ఇది.
",0
196,"మద్య నిషేధందేశంలో అందరూ చెబుతూనే ఉన్నారు మద్య నిషేధం సాధ్యం కాదు అని.
",0
197,"దానిని జగన్ నవరత్నాల్లో ప్రకటించారు.
",0
198,"దశల వారిగా మధ్య నిషేధం చేసి ఫైవ్ స్టార్ హోటల్లోనే తాగే అవకాశం ఉండేలా చేస్తే మద్యం అందరికీ దూరమవుతుంది అన్నారు.
",0
199,"ఇపుడేమో అయ్యో మద్యనిషేధం చేస్తే ప్రభుత్వానికి డబ్బుులు ఎట్లా వస్తాయి.
",0
200,"దానిని తర్వాత చూద్దాం అంటున్నాడు.
",0
201,"మాట తప్పం.
",0
202,"మడమ తిప్పం.
",0
203,"నెం 3 ది.
",0
204,"మొత్తానికి ఏడు రోజుల్లోపే మాట, మడమ రెండూ తిప్పేసి పెద్దాయన (కేసీఆర్ ను జగన్ ముద్దుగా పిలుచుకనే పేరు)కు మోడీకి దండం పెట్టి.
",0
