key,Sentence,checked
50,"ఇక శనివారం జరిగిన మ్యాచ్‌లో 81 పరుగులతో అజేయంగా నిలిచిన మహారాష్ట్ర బ్యాట్స్‌మేన్‌ కేదార్‌ జాదవ్‌ను ఆరోస్థానంలో పంపే అవకాశం ఉంది.
",0
51,"అంతేకా కుండా జాదవ్‌ కుడిచేతివాటం ఆఫ్‌బ్రేక్‌ బౌలర్‌ కావడంతో కీలకసమయంలో వికెట్లు కూడా పడే అవకాశం ఉంది.
",0
52,"అలాగే 37 ఏళ్ల ధోనీ 59 పరుగులు చేయడంపై కోచ్‌ రవిశాస్త్రి కూడా ఆశ్చర్యం వ్యక్తం చేశాడు.
",0
53,"ఈ పరుగులతో ధోనీలో ఇంకా సత్తా ఉందని మేనేజ్‌మెంట్‌కు తెలిసింది.
",0
54,"ఒకవేళ భారత్‌ టాప్‌ ఆర్డర్‌ విఫలమైన పక్షంలో ధోనీ-జాదవ్‌ జోడీ మిడిలార్డర్‌లో ఆదుకునే అవకాశం ఉంది.
",0
55,"శనివారం మ్యాచ్‌లో బౌలింగ్‌ చేసిన విజయశంకర్‌ స్థానంలో మరో వికెట్‌ కీపర్‌ రిషబ్‌ పంత్‌ జట్టులోకి వచ్చే అవకాశం ఉంది.
",0
56,"ఇక బౌలింగ్‌ విభాగంలో డెెత్‌ఓవర్ల స్పెషలిస్ట్‌ జస్ప్రీత్‌ బుమ్రా చివరి ఓవర్లు ఏ విధంగా వేస్తాడో మొదటి వన్డేలో కనిపించింది.
",0
57,"అతడి బౌలింగ్‌తో ఆసీస్‌ ఆటగాళ్లను ముప్పతిప్పలు పెట్టాడు.
",0
58,"మరో సీమర్‌ మొహ్మద్‌ షమి కూడా ఎంతటి భయంకరమైన బౌలరో ఆసీస్‌ టీంకు తెలిసింది.
",0
59,"మధ్య ఓవర్లలో పరుగులు కట్టడి చేసేందుకు ఇక కుల్దీప్‌ ఎలాగూ ఉన్నాడు.
",0
60,"ఇక్కడో ఆసక్తికరమైన విషయమేమంటే వికెట్లు తీయని జడేజాకు మరో అవకాశం ఇస్తారో, లేక అతడి స్థానంలో యజ్వేంద్ర చాహల్‌ను జట్టులోకి తీసుకొస్తారో వేచిచూడలి.
",0
61,"మరో వైపు ఆస్ట్రేలియా ఈ వన్డేలో ఎలాగైనా రాణించాలని ప్రణాళికలు రూపొందిస్తోంది.
",0
62,"కోచ్‌ జస్టిన్‌ లాంగర్‌, కెప్టెన్‌ అరోన్‌ ఫించ్‌ ఈమేరకు ప్రణాళికలు సిద్ధం చేస్తున్నారు.
",0
63,"ఇక కెప్టెన్‌ ఫించ్‌ టీ20ల నుంచి తన పేలవమైన ఫాంను కొనసాగిస్తున్నాడు.
",0
64,"మొదటి వన్డేలో పెద్దగా మార్పురాలేదు.
",0
65,"ఓపెనర్‌ ఉస్మాన్‌ ఖవాజా, గ్లెన్‌ మ్యాక్స్‌వెల్‌, ఆల్‌రౌండర్‌ మెర్కస్‌ స్టోనియస్‌ పెద్ద స్కోరును దృష్టిలో పెట్టుకుని త్వరగా తమ వికెట్లను చేజార్చుకోవడం ఆస్ట్రేలియాను కలవరపెడుతోంది.
",0
66,"జట్టు అంచనాలు .
",0
67,"భారత్‌ : విరాట్‌ కోహ్లి (కెప్టెన్‌), శిఖర్‌ ధావన్‌, రోహిత్‌ శర్మ, అంబటి రాయుడు, మహేంద్ర సింగ్‌ ధోనీ (వికెట్‌ కీపర్‌), కేదార్‌ జాదవ్‌, విజరుశంకర్‌, జస్ప్రీత్‌ బుమ్రా, మొహ్మద్‌ షమీ, కుల్దీప్‌ యాదవ్‌, యజ్వేంద్ర చాహల్‌, రిషబ్‌ పంత్‌, సిద్ధార్థ కౌల్‌, కేఎల్‌ రాహుల్‌, రవీంద్ర జడేజ.
",0
68,"ఆస్ట్రేలియా : ఆరోన్‌ ఫించ్‌ (కెప్టెన్‌),.
",0
69,"డీఆర్చ్‌ షార్ట్‌, షాన్‌ మార్ష్‌, మర్కస్‌ స్టోనియస్‌, ఉస్మాన్‌ ఖవాజా, అలెక్స్‌ కాయరీ, పీటర్‌ హ్యాండ్స్‌కాంబ్‌ (వికెట్‌కీపర్‌), అస్టోన్‌ టర్నర్‌, ఆడమ్‌ జంపా, జాసన్‌ బెహ్రెన్‌డార్స్‌, జే రిచర్డ్‌సన్స్‌, పాట్‌ కమ్మిన్స్‌, ఆండ్రూ టై, నాథన్‌ కౌంటర్‌ నైల్‌, నాథన్‌ లయాన్‌.
",0
70,"ఎంసీజీ ప్రేక్షకులకు సీఏ హెచ్చరిక.
",0
71,"మెల్‌బోర్న్‌: మూడో టెస్టులో భారత క్రికెటర్లను ఉద్దేశించి జాతి విద్వేష నినాదాలు చేస్తున్న ఎంసీజీ అభిమానులను క్రికెట్‌ ఆస్ట్రేలియా (సీఏ) హెచ్చరించింది.
",0
72,"మరోసారి ఇలా చేస్తే శిక్ష తప్పదని పేర్కొంది.
",0
73,"ఆసీస్‌తో జరుగుతున్న మూడో టెస్టులో కోహ్లిసేన ఆధిక్యంలో కొనసాగుతోంది.
",0
74,"మ్యాచ్‌లో తొలి రెండు రోజుల్లో టీమిండియా క్రికెటర్లపై కొందరు విద్వేష నినాదాలు చేశారని క్రికెట్‌ ఆస్ట్రేలియాకు ఫిర్యాదులు అందాయి.
",0
75,"నినాదాలకు సంబంధించిన వీడియో ఫుటేజీ సైతం సీఏ వద్ద ఉంది.
",0
76,"ఈ ఫుటేజీని విక్టోరియా పోలీస్‌ స్టేషన్‌, మైదానం నిర్వాహకులకు పంపించింది.
",0
77,"వాటిలో ‘మీ వీసాలు చూపించండి’ అని నినాదాలు చేస్తున్నట్టు తెలుస్తోంది.
",0
78,"అభిమానులు తమ ప్రవర్తనను అదుపులో ఉంచుకోవాలని క్రికెట్‌ ఆస్ట్రేలియా సూచించింది.
",0
79,"‘విక్టోరియా పోలీసులు, మైదానం నిర్వాహకులు అభిమానుల ప్రవర్తనను పర్యవేక్షించారు.
",0
80,"వారితో చర్చలు జరిపారు.
",0
81,"ప్రవేశ నిబంధనల ప్రకారం పద్ధతిగా నడుచుకోవాలని హెచ్చరించారు’ అని సీఏ అధికార ప్రతినిధి తెలిపారు.
",0
82,"టీమిండియా సారథి విరాట్‌ కోహ్లి తొలి ఇన్నింగ్స్‌లో 82 పరుగుల వద్ద ఔటైనప్పుడు ఇలాగే అసభ్యకరంగా నినాదాలు వినిపించాయి.
",0
83,"భారత క్రికెటర్లనే కాక వారి సొంత ఆటగాళ్లనూ హేళన చేశారు.
",0
84,"ఆస్ట్రేలియా జట్టులో పీటర్‌ హ్యాండ్స్‌కాంబ్‌ స్థానంలో తుది జట్టులోకి ఎంపికైన మిచెల్‌ మార్ష్‌ను సైతం అభిమానులు ఇలాగే అవమానించారు.
",0
85,"ఎంసీజీలో అభిమానులు విద్వేష వ్యాఖ్యలు చేయడం ఇదే తొలిసారి కాదు.
",0
86,"2005 బాక్సింగ్‌ డే టెస్టులో దక్షిణాఫ్రికా బౌలర్‌ ఆండ్రూ నెల్‌ ఇలాంటి ఘటననే ఎదుర్కొన్నాడు.
",0
87,"ఓటమి సంపూర్ణం.
",0
88,"లండన్‌: ఆతిథ్య ఇంగ్లండ్‌తో జరుగుతోన్న చివరి టెస్టులో భారత్‌ ఓటమిపాలైంది.
",0
89,"4-1 తేడాతో సిరీస్‌ను చేజార్చుకుంది.
",0
90,"భారత ఆటగాళ్లు రాహుల్‌ 149 పరుగులు చేయగా, పంత్‌ 114 పరుగులు చేసి ఔట్‌ అయ్యాడు.
",0
91,"అంతకుముందు 58/3 ఓవర్‌ నైట్‌ స్కోరుతో భారత్‌ ఐదో టెస్టు చివరి రోజు ఆటను ప్రారంభించింది.
",0
92,"ఐదోరోజు ఆట ప్రారంభమైన కొద్ది సేపటికే రాహుల్‌ అర్ధశతకాన్ని తన ఖాతాలో వేసుకున్నాడు.
",0
93,"ఈ క్రమంలో టీమిండియా ఆచితూచి ఆడింది.
",0
94,"మ్యాచ్‌ను ఎలాగైన డ్రాగా ముగించాలన్నదే భారత్‌ ధ్యేయం.
",0
95,"వీలు చిక్కినప్పుడల్లా బౌండరీలు బాదుతూ స్కోరు బోర్డును కదిలిస్తున్నాడు కేఎల్‌ రాహుల్‌.
",0
96,"ఈ తరుణంలో భారత్‌ స్వల్ప వ్యవధిలో రెండు కీలక వికెట్లు కోల్పోయింది.
",0
97,"ఆచితూచి నెమ్మదిగా ఆడుతోన్న రహానె(37)ను మొయిన్‌ అలీ బోల్తా కొట్టించాడు.
",0
98,"దీంతో కేఎల్‌ రాహుల్‌-రహానె భాగస్వామ్యానికి తెరపడినట్లైంది.
",0
99,"ఈ ఇద్దరూ కలిసి నాలుగో వికెట్‌కు 118 పరుగుల భాగస్వామ్యం నెలకొల్పారు.
",0
100,"రహానె ఔటవ్వడంతో ఆంధ్ర ఆటగాడు హనుమ విహారి క్రీజులోకి వచ్చాడు.
",0
101,"37వ ఓవర్లో స్టోక్స్‌ వేసిన నాలుగో బంతిని ఎదుర్కొన్న విహారి వికెట్‌ కీపర్‌ బెయిర్‌స్టోకు క్యాచ్‌ ఇచ్చి ఔటయ్యాడు.
",0
102,"6 బంతులు ఎదుర్కొన్న విహారి ఒక్క పరుగు కూడా చేయలేదు.
",0
103,"ఈక్రమంలోనే క్రీజులోకి అడుగుపెట్టిన యువ వికెట్‌ కీపర్‌ రిషబ్‌ పంత్‌ చెలరేగి ఆడాడు.
",0
104,"వన్డే తరహాలో బ్యాటింగ్‌ చేసిన పంత్‌ అదే ఊపులో శతకం బాదేశాడు.
",0
105,"అదీ భారీ సిక్సర్‌తో కావడం ప్రత్యేకం.
",0
106,"దీంతో టెస్టుల్లో ఎంఎస్‌ ధోనీ రికార్డు బద్దలు కొట్టాడు.
",0
107,"భారత వికెట్‌ కీపర్లలో నాలుగో ఇన్నింగ్స్‌లో అత్యధిక పరుగులు చేసిన ఆటగాడిగా పంత్‌ రికార్డు సష్టిం చాడు.
",0
108,"2007లో ధోనీ ఇంగ్లండ్‌పై 76 నాటౌట్‌, పార్థివ్‌ పటేల్‌ ఇంగ్లండ్‌పై 67 నాటౌట్‌, దీప్‌ దాస్‌ గుప్తా దక్షిణాఫ్రికాపై 63 రికార్డును పంత్‌ అధి గమించాడు.
",0
109,"అనంతరం స్వల్ప వ్యవధిలో రాహుల్‌, పంత్‌ ఔటయ్యారు.
",0
110,"తరువాత వచ్చిన వారెవ్వరూ క్రీజులో నిలవలేకపోయవడంతో ఓటమి తప్పలేదు.
",0
111,"‘పీఎస్‌ఎల్‌’ నుంచి రిలయన్స్‌ ఔట్‌.
",0
112,"దుబారు : పుల్వామా ఉగ్రదాడి నేపథ్యంలో పాకిస్థాన్‌ సూపర్‌ లీగ్‌(పీఎస్‌ఎల్‌) క్రికెట్‌ ప్రసారాల నుంచి వైదొలుగుతున్నట్లు ఐఎంజీ రిలయన్స్‌ ప్రకటించింది.
",0
113,"ఈ మేరకు ఐఎంజీ రిలయన్స్‌ పాకిస్థాన్‌ క్రికెట్‌ బోర్డుకు తెలియజేసింది.
",0
114,"దాడిని తీవ్రంగా ఖండించిన సంస్థ తక్షణమే పీఎస్‌ఎల్‌ ప్రసారాల నుంచి వైదొలుగుతున్నట్లు తెలిపింది.
",0
115,"భద్రతా కారణాలరీత్యా ప్రస్తుతం టోర్నీని యూఏఈలో నిర్వహిస్తుండగా.
",0
116,"నాకౌట్‌ మ్యాచ్‌లను పాకిస్థాన్‌లోని లాహోర్‌, కరాచీలలో నిర్వహించ నున్నారు.
",0
117,"పాకిస్థాన్‌ సూపర్‌ లీగ్‌ మ్యాచ్‌లను ప్రసారం చేసేందుకు ఐఎంజీ రిలయన్స్‌ గతంలో పాకిస్థాన్‌ క్రికెట్‌ బోర్డుతో ఒప్పందం కుదుర్చుకుంది.
",0
118,"అటు ప్రసారాల నుంచి రిల యన్స్‌ తప్పుకున్నట్లు అధికారికంగా ధ్రువీక రించిన పాకిస్థాన్‌ క్రికెట్‌ బోర్డు.
",0
119,"మరో సంస్థ కోసం అన్వేషిస్తున్నట్లు తెలిపింది.
",0
120,"సింగిల్‌ హ్యాండ్‌ బాక్సర్‌.
",0
121,"ముంబై : అతడు మూడు నెలల పసిపిల్లాడిగా ఉన్నప్పుడే కుడి చెయ్యికి క్యాన్సర్‌ సోకింది.
",0
122,"వైద్యుల సూచన మేరకు శస్త్రచికిత్సలో భాగంగా ఆ చెయ్యి మణికట్టు నుంచి తొలగించారు.
",0
123,"దీంతో ఎడమచెయ్యి ఒక్కటే పూర్తిగా ఉంది.
",0
124,"కుడి చెయ్యి లేకపోడంతో దివ్యాంగునిగా మారాడు.
",0
125,"అతడు పెరిగే కొద్దీ తోటి విద్యార్థులు హేళన చేయడం, మానసికంగా బాధించడంతో అతడిలో కోపం పెరిగిపోయింది.
",0
126,"చీటికీమాటికీ అందరితో గొడవలు పడటం, యుక్తవయసు వచ్చేసరికి వ్యసనాలకు అలవాడు పడ్డాడు.
",0
127,"ఇక అవే జీవితం అనుకొని బతికేస్తుండగా అతడి జీవన గమనం మారిపోయింది.
",0
128,"ఆ గమనం వైపు వేసిన అడుగులు ఇప్పుడతడిని విజేతగా నిలబెట్టాయి.
",0
129,"వాగ్గెలిస్‌ ఛాజిస్‌.
",0
130,"ప్రపంచంలో ఒకే ఒక్క చేయి కలిగిన ప్రొఫెషనల్‌ బాక్సర్‌.
",0
131,"ఎంతటి దుర్భర జీవితం అనుభవించాడో ఇప్పుడంతటి విజేతగా మారాడు.
",0
132,"వాగ్గెలిస్‌ తన గురించి మట్లాడుతూ ఇలా చెప్పుకొచ్చాడు.
",0
133,"”ఒక అందమైన అమ్మాయిని చూస్తే.
",0
134,"మొదటి చూపులోనే ప్రేమ ఎలా పుడుతుందో అలానే నేను కూడా బాక్సింగ్‌తో ప్రేమలో పడ్డాను.
",0
135,"దశాబ్దం క్రితం నేను ఇంగ్లండ్‌ వెళ్లినప్పుడు అక్కడ నాకు మొదటి కోచ్‌ టోనీ లాంగ్‌ పరిచయమయ్యారు.
",0
136,"ఆయనకు ఓ బాక్సింగ్‌ జిమ్‌ ఉండడంతో శిక్షణ మొదలెట్టాను.
",0
137,"టీవీలో బాక్సింగ్‌ చూడటమంటే నాకు చాలా ఇష్టం.
",0
138,"కానీ ఇంత తక్కువ సమయంలోనే నేను ఇలా రింగ్‌లోకి దిగి ప్రత్యర్థులను చిత్తు చేస్తాననుకోలేదు” అని అంటాడు వాగ్గెలిస్‌.
",0
139,"అన్ని అడ్డంకులను అధిగమించి వాగ్గెలిస్‌ 2015లో ఏథెన్స్‌లో తన మొదటి బాక్సింగ్‌ మ్యాచ్‌ను ఆడాడు.
",0
140,"దాదాపు మూడు వేల మంది వీక్షకుల మధ్య జరిగిన తొలిపోరులోనే చరిత్ర సష్టించాడు.
",0
141,"అనంతరం రెండో మ్యాచ్‌లో ఓడిపోయి తీవ్ర గాయాలపాలయ్యాడు.
",0
142,"తిరిగి రెండున్నరేళ్లు బాక్సింగ్‌కు దూరంగా ఉండాల్సి వచ్చింది.
",0
143,"మళ్లీ కష్టపడి సాధన చేసి 2018లో బాక్సింగ్‌ గ్లౌజులు తొడిగాడు.
",0
144,"ఈసారి సెర్బో బాస్నియన్‌ బాక్సర్‌ మిక్రో డ్రాజ్డోను ఓడించి తన సత్తా చాటాడు.
",0
145,"వాగ్గెలిస్‌ మాట్లాడుతూ:.
",0
146,"”నాకు 35 ఏళ్లు వచ్చే వరకు నేను బాక్సింగ్‌ ఆడతాను.
",0
147,"నాలాంటి వారికి శిక్షణ ఇచ్చి వారిలోని వైకల్యాన్ని మరిచిపోయి విజేతలుగా మార్చాలన్నదే నా ఆశ.
",0
148,"నేను చివరగా ఒక్కటే చెప్పదల్చుకున్నాను.
",0
149,"మీకు ఉన్న వైకల్యాన్ని మరిచిపోయి మీ కలలను సాకారం చేసుకునేందుకు ప్రయత్నించండి.
",0
150,"ఎవరి మాటా వినొద్దు నీ మనసు మాట విని ముందుకు సాగిపో.
",0
151,"విజయమే నిన్ను వరిస్తుంది” అని తన విజయ గాధను తెలియజేశాడు వాగ్గెలిస్‌.
",0
152,"ధోనీకి విశ్రాంతి.
",0
153,"మొహాలీ: ఆస్ట్రేలియాతో జరగనున్న ఆఖరి రెండు వన్డేలకు టీమిండియా స్టార్‌ బ్యాట్స్‌మెన్‌ మహేంద్ర సింగ్‌ ధోనీకి విశ్రాంతినిచ్చారు.
",0
154,"పంజాబ్‌లోని మొహాలీలో ఆదివారం నాలుగో వన్డే, మార్చి 13న ఢిల్లీలో ఐదో వన్డే జరగనుంది.
",0
155,"చివరి రెండు వన్డేల నుంచి ధోనీకి విశ్రాంతినిచ్చినట్లు టీమిండియా సహాయక కోచ్‌ సంజరు బంగర్‌ దృవీకరించారు.
",0
156,"ఈ విషయంపై మీడియాతో మాట్లాడుతూ… ‘చివరి రెండు వన్డేల్లో జట్టులో పలు మార్పులు చేయనున్నాం.
",0
157,"ఈ రెండు మ్యాచుల్లో ధోనీ ఆడడు.
",0
158,"ఆయనకు విశ్రాంతి ఇస్తున్నాం.
",0
159,"ధోనీ స్థానంలో రిషబ్‌ పంత్‌ ఆడే అవకాశాలు ఉన్నాయి.
",0
160,"మరోవైపు కాలికి గాయం కారణంగా మిగతా రెండు వన్డేల్లో పేసర్‌ షమీకి కూడా విశ్రాంతినిచ్చే అవకాశం ఉంది.
",0
161,"మిగతా వన్డేల్లో ఆడడానికి షమీ ఫిట్‌గా ఉన్నాడో.
",0
162,"లేదో తెలుసుకోవాల్సి ఉంది.
",0
163,"అతడు ఫిట్‌గా లేకపోతే భువనేశ్వర్‌ను ఆడిస్తాం.
",0
164,"ఆటకు ముందు టీమిండియా కోచ్‌, కెప్టెన్‌.
",0
165,"ఈ విషయంపై నిర్ణయం తీసుకుంటారు’ అని సంజరు బంగర్‌ వెల్లడించారు.
",0
166,"ఇంగ్లండ్‌పై క్రిస్‌గేల్‌ సరికొత్త రికార్డు.
",0
167,"సౌథాంప్టన్‌: వెస్టిండీస్‌ ఓపెనర్‌ క్రిస్‌గేల్‌ సరికొత్త రికార్డు సష్టించాడు.
",0
168,"శుక్రవారం మ్యాచ్‌ ముందు వరకు ఇంగ్లండ్‌పై 1596 పరుగులు చేశాడు.
",0
169,"శుక్రవారం జరిగిన మ్యాచ్‌లో 36 పరుగులు చేశాడు.
",0
170,"దీంతో ప్రపంచకప్‌ ఆతిథ్య జట్టుపై వన్డేల్లో అత్యధిక పరుగులు సాధించిన క్రికెటర్‌గా తొలి స్థానంలో నిలిచాడు.
",0
171,"మొత్తం 36 మ్యాచ్‌ల్లో 34 ఇన్నింగ్స్‌ ఆడిన స్టార్‌ బ్యాట్స్‌మన్‌ 1632 పరుగులు పూర్తిచేశాడు.
",0
